Index,Institution,records,Share.of.133800.x,Long,Lat,Address
457,UNIVERSITY OF TEXAS ARLINGTON,524,0.104,-97.10807,32.73569,UNIVERSITY OF TEXAS ARLINGTON
458,UNIVERSITY OF TEXAS AUSTIN,505,0.1,-97.74306,30.26715,UNIVERSITY OF TEXAS AUSTIN
459,UNIVERSITY OF TEXAS DALLAS,521,0.103,-96.80667,32.78306,UNIVERSITY OF TEXAS DALLAS
460,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON,436,0.086,-95.36327,29.76328,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON
461,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER SAN ANTONIO,251,0.05,-98.49363,29.42412,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER SAN ANTONIO
462,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER DALLAS,568,0.112,-96.83999,32.81223,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER DALLAS
463,UNIVERSITY OF TOKYO,910,0.18,139.69171,35.6895,UNIVERSITY OF TOKYO
464,UNIVERSITY OF TORONTO,87403,17.294,-79.3942,43.66219,UNIVERSITY OF TORONTO
465,UNIVERSITY OF TSUKUBA,633,0.125,140.1,36.2,UNIVERSITY OF TSUKUBA
466,UNIVERSITY OF TURIN,250,0.049,7.68682,45.07049,UNIVERSITY OF TURIN
467,UNIVERSITY OF UDINE,531,0.105,13.24222,46.06194,UNIVERSITY OF UDINE
468,UNIVERSITY OF UTAH,808,0.16,-111.84855,40.76495,UNIVERSITY OF UTAH
469,UNIVERSITY OF UTRECHT,561,0.111,5.12222,52.09083,UNIVERSITY OF UTRECHT
470,UNIVERSITY OF VALENCIA,508,0.101,-0.37739,39.46975,UNIVERSITY OF VALENCIA
471,UNIVERSITY OF VERMONT,504,0.1,-72.74983,44.00034,UNIVERSITY OF VERMONT
472,UNIVERSITY OF VICTORIA,1097,0.217,114.15769,22.28552,UNIVERSITY OF VICTORIA
473,UNIVERSITY OF VIRGINIA,610,0.121,-77.537784,37.570304,UNIVERSITY OF VIRGINIA
474,UNIVERSITY OF WARWICK,494,0.098,-1.562,52.381,UNIVERSITY OF WARWICK
475,UNIVERSITY OF WASHINGTON,2294,0.454,-122.31336,47.652767,UNIVERSITY OF WASHINGTON
476,UNIVERSITY OF WASHINGTON SEATTLE,2280,0.451,-122.33207,47.60621,UNIVERSITY OF WASHINGTON SEATTLE
477,UNIVERSITY OF WATERLOO,2426,0.48,-80.51639,43.4668,UNIVERSITY OF WATERLOO
478,UNIVERSITY OF WESTERN AUSTRALIA,623,0.123,122,-25,UNIVERSITY OF WESTERN AUSTRALIA
479,UNIVERSITY OF WINDSOR,314,0.062,-83.06548,42.3049,UNIVERSITY OF WINDSOR
480,UNIVERSITY OF WISCONSIN MADISON,1256,0.249,-89.40123,43.07305,UNIVERSITY OF WISCONSIN MADISON
481,UNIVERSITY OF WITWATERSRAND,519,0.103,28.04363,-26.20227,"UNIVERSITY OF WITWATERSRAND, Johannesburg,"
482,UNIVERSITY OF WURZBURG,589,0.117,9.93611,49.78778,UNIVERSITY OF WURZBURG
483,UNIVERSITY OF YORK UK,257,0.051,-1.0814175,53.9593817,UNIVERSITY OF YORK UK
484,UNIVERSITY OF ZURICH,554,0.11,8.55,47.36667,UNIVERSITY OF ZURICH
487,UPPSALA UNIVERSITY,876,0.173,17.63149,59.85519,UPPSALA UNIVERSITY
489,UTMD ANDERSON CANCER CENTER,929,0.184,2.16667,7.25,UTMD ANDERSON CANCER CENTER
490,UTRECHT UNIVERSITY MEDICAL CENTER,439,0.087,-101.89214,33.58928,UTRECHT UNIVERSITY MEDICAL CENTER
491,VA BOSTON HEALTHCARE SYSTEM,1020,0.202,17.15,47.25,VA BOSTON HEALTHCARE SYSTEM
492,VANDERBILT UNIVERSITY,747,0.148,-86.80305,36.14811,VANDERBILT UNIVERSITY
493,VIRGINIA COMMONWEALTH UNIVERSITY,262,0.052,-77.4518,37.54851,VIRGINIA COMMONWEALTH UNIVERSITY
494,VU UNIVERSITY AMSTERDAM,604,0.12,4.88969,52.37403,VU UNIVERSITY AMSTERDAM
495,WAKE FOREST UNIVERSITY,299,0.059,-80.27727,36.13347,WAKE FOREST UNIVERSITY
496,WASEDA UNIVERSITY,595,0.118,139.75309,35.68536,"WASEDA UNIVERSITY, Japan"
497,WASHINGTON UNIVERSITY WUSTL,885,0.175,-121.5708,47.3917,WASHINGTON UNIVERSITY WUSTL
498,WAYNE STATE UNIVERSITY,517,0.102,-83.06853,42.35615,WAYNE STATE UNIVERSITY
499,WEILL CORNELL MEDICAL COLLEGE QATAR,385,0.076,51.25,25.5,WEILL CORNELL MEDICAL COLLEGE QATAR
500,WEILL CORNELL MEDICAL COLLEGE,431,0.085,-74.010241,40.702898,"WEILL CORNELL MEDICAL COLLEGE, New York City, New York"
501,WEIZMANN INSTITUTE OF SCIENCE,602,0.119,34.75,31.5,"WEIZMANN INSTITUTE OF SCIENCE, Israel"
502,WEST UNIVERSITY OF TIMISOARA,420,0.083,21.22571,45.75372,WEST UNIVERSITY OF TIMISOARA
503,WESTERN UNIVERSITY UNIVERSITY OF WESTERN ONTARIO,4042,0.8,-84.49983,49.25014,WESTERN UNIVERSITY UNIVERSITY OF WESTERN ONTARIO
504,WILFRID LAURIER UNIVERSITY,328,0.065,-105.50115,50.38335,"WILFRID LAURIER UNIVERSITY, Canada"
505,YALE UNIVERSITY,1530,0.303,-72.92649,41.31121,YALE UNIVERSITY
506,YEREVAN PHYSICS INSTITUTE,448,0.089,44.51361,40.18111,"YEREVAN PHYSICS INSTITUTE, Yerevan, Armenia"
507,YESHIVA UNIVERSITY,409,0.081,-73.92847,40.85204,YESHIVA UNIVERSITY
508,YORK UNIVERSITY CANADA,8845,1.75,-105.50115,50.38335,YORK UNIVERSITY CANADA
